Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
molec-biol-promoter.csv,KNORAU,3,"{'k': 9, 'DSEL_perc': 0.30000000000000004}",0.818181818,0.816666667,0.183333333,0.816666667,0.733333333,0.575454545,0.018387079,9.458801963
molec-biol-promoter.csv,METADES,3,"{'k': 8, 'DSEL_perc': 0.5}",0.636363636,0.616666667,0.383333333,0.645833333,0.733333333,0.748787879,0.239494801,18.95917546
molec-biol-promoter.csv,AdaBoostClassifier,3,"{'n_estimators': 71, 'learning_rate': 0.059508768928408014}",0.818181818,0.8,0.2,0.875,0.766666667,0.840454545,0.111324072,0.884554603
molec-biol-promoter.csv,MCB,4,"{'k': 7, 'DSEL_perc': 0.5}",0.727272727,0.7,0.3,0.833333333,0.9,0.928571429,0.018716335,9.605732831
molec-biol-promoter.csv,KNORAU,4,"{'k': 8, 'DSEL_perc': 0.4}",0.727272727,0.75,0.25,0.8125,1,1,0.018275738,9.462508288
molec-biol-promoter.csv,METADES,4,"{'k': 4, 'DSEL_perc': 0.1}",0.909090909,0.9,0.1,0.928571429,0.866666667,0.853174603,0.232923746,19.04708689
molec-biol-promoter.csv,AdaBoostClassifier,4,"{'n_estimators': 51, 'learning_rate': 0.12012463670537793}",0.909090909,0.9,0.1,0.928571429,0.966666667,0.974206349,0.07490468,0.652876767
molec-biol-promoter.csv,MCB,5,"{'k': 9, 'DSEL_perc': 0.6}",0.909090909,0.916666667,0.083333333,0.916666667,0.816666667,0.878787879,0.01783824,9.578336369
molec-biol-promoter.csv,KNORAU,5,"{'k': 2, 'DSEL_perc': 0.1}",0.727272727,0.733333333,0.266666667,0.733333333,0.916666667,0.926984127,0.020146132,9.449243546
molec-biol-promoter.csv,METADES,5,"{'k': 4, 'DSEL_perc': 0.1}",0.909090909,0.916666667,0.083333333,0.916666667,1,1,0.228758335,19.07162233
molec-biol-promoter.csv,AdaBoostClassifier,5,"{'n_estimators': 36, 'learning_rate': 0.7960192447380997}",1,1,0,1,1,1,0.062727451,0.489863482
molec-biol-promoter.csv,MCB,6,"{'k': 2, 'DSEL_perc': 0.7000000000000001}",0.727272727,0.716666667,0.283333333,0.732142857,0.733333333,0.824242424,0.017179966,9.505228563
molec-biol-promoter.csv,KNORAU,6,"{'k': 7, 'DSEL_perc': 0.5}",0.818181818,0.833333333,0.166666667,0.857142857,0.966666667,0.974206349,0.0192554,9.515263818
molec-biol-promoter.csv,METADES,6,"{'k': 8, 'DSEL_perc': 0.2}",0.727272727,0.733333333,0.266666667,0.733333333,0.683333333,0.613973064,0.227995396,18.9233043
molec-biol-promoter.csv,AdaBoostClassifier,6,"{'n_estimators': 100, 'learning_rate': 0.8762740690353478}",0.818181818,0.816666667,0.183333333,0.816666667,0.966666667,0.974206349,0.163517237,1.212315126
molec-biol-promoter.csv,MCB,7,"{'k': 7, 'DSEL_perc': 0.30000000000000004}",0.6,0.6,0.4,0.619047619,0.7,0.775,0.019629478,10.53967476
molec-biol-promoter.csv,KNORAU,7,"{'k': 3, 'DSEL_perc': 0.30000000000000004}",0.8,0.8,0.2,0.8,0.8,0.751428571,0.017904282,10.36868095
molec-biol-promoter.csv,METADES,7,"{'k': 6, 'DSEL_perc': 0.30000000000000004}",0.7,0.7,0.3,0.708333333,0.84,0.862857143,0.226345301,20.86791992
molec-biol-promoter.csv,AdaBoostClassifier,7,"{'n_estimators': 44, 'learning_rate': 0.8351832269730394}",0.8,0.8,0.2,0.857142857,0.92,0.918333333,0.067748547,0.622463226
molec-biol-promoter.csv,MCB,8,"{'k': 8, 'DSEL_perc': 0.4}",0.9,0.9,0.1,0.916666667,0.6,0.683333333,0.017727137,10.45336723
molec-biol-promoter.csv,KNORAU,8,"{'k': 2, 'DSEL_perc': 0.5}",0.9,0.9,0.1,0.916666667,1,1,0.025914669,10.48779488
molec-biol-promoter.csv,METADES,8,"{'k': 3, 'DSEL_perc': 0.30000000000000004}",0.8,0.8,0.2,0.8,0.92,0.9425,0.225986719,20.8994627
molec-biol-promoter.csv,AdaBoostClassifier,8,"{'n_estimators': 95, 'learning_rate': 0.08379066068260982}",0.6,0.6,0.4,0.6,0.84,0.864761905,0.139594555,1.229953766
molec-biol-promoter.csv,MCB,9,"{'k': 4, 'DSEL_perc': 0.7000000000000001}",0.7,0.7,0.3,0.8125,0.6,0.683333333,0.016872883,10.47387123
molec-biol-promoter.csv,KNORAU,9,"{'k': 8, 'DSEL_perc': 0.1}",0.7,0.7,0.3,0.708333333,0.88,0.898095238,0.019551516,10.42459011
molec-biol-promoter.csv,METADES,9,"{'k': 3, 'DSEL_perc': 0.2}",0.9,0.9,0.1,0.916666667,0.94,0.943333333,0.225635052,20.83408833
molec-biol-promoter.csv,AdaBoostClassifier,9,"{'n_estimators': 33, 'learning_rate': 0.08480279452472715}",0.9,0.9,0.1,0.916666667,0.88,0.86,0.047477245,0.480437279
molec-biol-promoter.csv,MCB,10,"{'k': 8, 'DSEL_perc': 0.8}",0.7,0.7,0.3,0.8125,0.8,0.857142857,0.024679899,10.6554985
molec-biol-promoter.csv,KNORAU,10,"{'k': 9, 'DSEL_perc': 0.2}",0.6,0.6,0.4,0.619047619,0.56,0.470119048,0.019264936,10.42306423
molec-biol-promoter.csv,METADES,10,"{'k': 6, 'DSEL_perc': 0.1}",0.8,0.8,0.2,0.857142857,0.98,0.983333333,0.228863001,20.86987495
molec-biol-promoter.csv,AdaBoostClassifier,10,"{'n_estimators': 14, 'learning_rate': 0.27178245965835734}",1,1,0,1,1,1,0.02123189,0.261640549
mfeat-morphological.csv,MCB,1,"{'k': 3, 'DSEL_perc': 0.8}",0.98,0.988888889,0.011111111,0.916666667,0.997222222,0.976190476,0.024875164,0.538005829
mfeat-morphological.csv,KNORAU,1,"{'k': 7, 'DSEL_perc': 0.1}",0.995,0.997222222,0.002777778,0.976190476,0.999444444,0.994993734,0.034720659,0.523195267
mfeat-morphological.csv,METADES,1,"{'k': 8, 'DSEL_perc': 0.8}",0.985,0.969444444,0.030555556,0.949587656,0.969027778,0.924209957,0.245908737,1.053971052
mfeat-morphological.csv,AdaBoostClassifier,1,"{'n_estimators': 73, 'learning_rate': 0.06395408068356707}",1,1,0,1,1,1,0.191635847,0.05774498
mfeat-morphological.csv,MCB,2,"{'k': 8, 'DSEL_perc': 0.8}",1,1,0,1,1,1,0.020492077,0.524811745
mfeat-morphological.csv,KNORAU,2,"{'k': 8, 'DSEL_perc': 0.8}",0.995,0.997222222,0.002777778,0.976190476,1,1,0.021068096,0.520642996
mfeat-morphological.csv,METADES,2,"{'k': 2, 'DSEL_perc': 0.6}",1,1,0,1,1,1,0.238899708,1.040713787
mfeat-morphological.csv,AdaBoostClassifier,2,"{'n_estimators': 10, 'learning_rate': 0.26216685093378583}",1,1,0,1,1,1,0.025314808,0.012769699
mfeat-morphological.csv,MCB,3,"{'k': 5, 'DSEL_perc': 0.9}",0.985,0.925,0.075,0.991803279,0.925,0.9325,0.018231392,0.525774956
mfeat-morphological.csv,KNORAU,3,"{'k': 7, 'DSEL_perc': 0.9}",0.995,0.975,0.025,0.997237569,1,1,0.019362926,0.524851084
mfeat-morphological.csv,METADES,3,"{'k': 6, 'DSEL_perc': 0.6}",1,1,0,1,1,1,0.241888523,1.039009094
mfeat-morphological.csv,AdaBoostClassifier,3,"{'n_estimators': 68, 'learning_rate': 0.07386570537794668}",1,1,0,1,1,1,0.189523458,0.057913065
mfeat-morphological.csv,MCB,4,"{'k': 2, 'DSEL_perc': 0.8}",1,1,0,1,1,1,0.022121668,0.522297621
mfeat-morphological.csv,KNORAU,4,"{'k': 2, 'DSEL_perc': 0.8}",1,1,0,1,1,1,0.022666931,0.519647598
mfeat-morphological.csv,METADES,4,"{'k': 9, 'DSEL_perc': 0.7000000000000001}",1,1,0,1,1,1,0.243610859,0.010124445
mfeat-morphological.csv,AdaBoostClassifier,4,"{'n_estimators': 40, 'learning_rate': 0.17015864187578744}",1,1,0,1,1,1,0.102193594,0.036638975
mfeat-morphological.csv,MCB,5,"{'k': 8, 'DSEL_perc': 0.8}",1,1,0,1,1,1,0.020980835,0.522669554
mfeat-morphological.csv,KNORAU,5,"{'k': 5, 'DSEL_perc': 0.8}",1,1,0,1,1,1,0.021026611,0.522921085
mfeat-morphological.csv,METADES,5,"{'k': 4, 'DSEL_perc': 0.9}",1,1,0,1,1,1,0.245226383,1.049904823
mfeat-morphological.csv,AdaBoostClassifier,5,"{'n_estimators': 92, 'learning_rate': 0.08131286101631291}",1,1,0,1,1,1,0.227587223,0.077397823
mfeat-morphological.csv,MCB,6,"{'k': 2, 'DSEL_perc': 0.4}",0.985,0.925,0.075,0.991803279,0.95,0.955,0.039279222,0.536595583
mfeat-morphological.csv,KNORAU,6,"{'k': 5, 'DSEL_perc': 0.6}",0.985,0.925,0.075,0.991803279,0.925,0.9325,0.032653809,0.011856556
mfeat-morphological.csv,METADES,6,"{'k': 6, 'DSEL_perc': 0.9}",0.985,0.925,0.075,0.991803279,0.925,0.9325,0.241932154,0.009493828
mfeat-morphological.csv,AdaBoostClassifier,6,"{'n_estimators': 57, 'learning_rate': 0.07796655055666044}",0.995,0.975,0.025,0.997237569,1,1,0.141402721,0.045824051
mfeat-morphological.csv,MCB,7,"{'k': 5, 'DSEL_perc': 0.6}",0.985,0.925,0.075,0.991803279,0.925,0.9325,0.025373459,0.526243448
mfeat-morphological.csv,KNORAU,7,"{'k': 5, 'DSEL_perc': 0.6}",1,1,0,1,1,1,0.025181055,0.519442558
mfeat-morphological.csv,METADES,7,"{'k': 7, 'DSEL_perc': 0.9}",0.99,0.95,0.05,0.994505495,0.975,0.9775,0.245974779,1.049640179
mfeat-morphological.csv,AdaBoostClassifier,7,"{'n_estimators': 38, 'learning_rate': 0.1796054378223288}",0.995,0.975,0.025,0.997237569,1,1,0.095130682,0.033860207
mfeat-morphological.csv,MCB,8,"{'k': 5, 'DSEL_perc': 0.6}",0.995,0.997222222,0.002777778,0.976190476,0.997222222,0.976190476,0.023259163,0.526490211
